,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper
3963,2016-07-03,716117.4797200668,362049.3019840164,362049.33244492987,716117.4645359799,716117.4950936429
3964,2016-07-04,716299.2743174817,797620.797917858,797620.8284493557,716299.2591249754,716299.2896942777
3965,2016-07-05,716481.0689148963,1301311.2640009169,1301311.2946043478,716481.0537139706,716481.0842949122
3966,2016-07-06,716662.8635123111,1863085.7309337095,1863085.761577406,716662.8483029656,716662.8788955469
3967,2016-07-07,716844.6581097262,2471010.863578974,2471010.894111012,716844.6428919611,716844.6734961814
3968,2016-07-08,717026.4527071409,3111558.304319384,3111558.3348922646,717026.4374809565,717026.4680968161
3969,2016-07-09,717208.2473045557,3769951.3213813184,3769951.351912962,717208.2320699517,717208.2626974506
3970,2016-07-10,717390.0419019707,4430544.950648376,4430544.981375211,717390.0266589472,717390.0572980853
3971,2016-07-11,717571.8364993855,5077229.001732714,5077229.032318385,717571.8212479424,717571.8518987198
3972,2016-07-12,717753.6310968003,5693842.783565623,5693842.814223323,717753.6158369377,717753.6464993542
3973,2016-07-13,717935.4256942153,6264590.218916121,6264590.249569635,717935.4104259331,717935.4410999889
3974,2016-07-14,718117.2202916301,6774444.143176416,6774444.173878774,718117.2050149282,718117.2357006234
3975,2016-07-15,718299.0148890449,7209529.026954001,7209529.057717883,718298.9996039238,718299.0303012577
3976,2016-07-16,718480.8094864597,7557472.098311885,7557472.128980972,718480.7941929189,718480.8249018922
3977,2016-07-17,718662.6040838747,7807713.846216178,7807713.876813094,718662.5887819144,718662.6195025269
3978,2016-07-18,718844.3986812895,7951770.129688296,7951770.160400617,718844.3833709096,718844.4141031614
3979,2016-07-19,719026.1932787043,7983439.55575747,7983439.586575222,719026.1779620363,719026.2087037963
3980,2016-07-20,719207.9878761193,7898951.37784269,7898951.408674233,719207.9725546067,719208.0033044306
3981,2016-07-21,719389.7824735339,7697050.867407412,7697050.898026189,719389.7671434205,719389.7979050654
3982,2016-07-22,719571.5770709487,7379020.854666684,7379020.885396803,719571.561731563,719571.5925056998
3983,2016-07-23,719753.3716683637,6948639.893637338,6948639.924373437,719753.3563197056,719753.3871063346
3984,2016-07-24,719935.1662657785,6412079.207624837,6412079.238540307,719935.150907848,719935.181706969
3985,2016-07-25,720116.9608631933,5777742.187674771,5777742.218473764,720116.9454959903,720116.9763076035
3986,2016-07-26,720298.7554606083,5056051.685878379,5056051.716681822,720298.7400841614,720298.7709082382
3987,2016-07-27,720480.5500580231,4259191.645203809,4259191.675906919,720480.5346739704,720480.5655088727
3988,2016-07-28,720662.3446554379,3400810.686373951,3400810.717161062,720662.3292676889,720662.3601095071
3989,2016-07-29,720844.1392528529,2495696.125479325,2495696.1562332027,720844.1238614076,720844.154710142
3990,2016-07-30,721025.9338502677,1559427.4791703653,1559427.510005714,721025.9184551262,721025.9493107763
3991,2016-07-31,721207.7284476825,608018.8439815306,608018.8749405491,721207.7130488448,721207.7439114109
3992,2016-08-01,721389.5230450972,-342440.4191218232,-342440.38819246774,721389.5076425634,721389.5385120455
3993,2016-08-02,721571.3176425123,-1276137.4713254068,-1276137.4403969417,721571.302236282,721571.3331126801
3994,2016-08-03,721753.112239927,-2177871.4998596082,-2177871.4689849825,721753.0968300005,721753.1277133146
3995,2016-08-04,721934.9068373417,-3033364.885605365,-3033364.85469924,721934.8914237192,721934.9223139491
3996,2016-08-05,722116.7014347569,-3829542.8846454863,-3829542.8536706283,722116.6860174378,722116.7169145838
3997,2016-08-06,722298.4960321714,-4554775.755125475,-4554775.724174747,722298.4806111564,722298.5115152183
3998,2016-08-07,722480.2906295863,-5199078.484643113,-5199078.453696552,722480.2752048989,722480.3061158528
3999,2016-08-08,722662.0852270012,-5754264.5825064415,-5754264.551574881,722662.0697986628,722662.1007164875
4000,2016-08-09,722843.879824416,-6214051.788588511,-6214051.757634158,722843.8643924264,722843.895317122
4001,2016-08-10,723025.6744218309,-6574118.929151768,-6574118.898121291,723025.6589861901,723025.6899177565
4002,2016-08-11,723207.4690192458,-6832114.526061039,-6832114.495080903,723207.4535799539,723207.4845183912
4003,2016-08-12,723389.2636166606,-6987619.055125735,-6987619.024152001,723389.2481737176,723389.2791190257
4004,2016-08-13,723571.0582140754,-7042063.950530424,-7042063.9194770185,723571.0427674812,723571.0737196602
4005,2016-08-14,723752.8528114903,-6998611.510708391,-6998611.479658797,723752.837361245,723752.8683202947
4006,2016-08-15,723934.6474089052,-6862000.761174418,-6862000.730274161,723934.6319550087,723934.6629209294
4007,2016-08-16,724116.44200632,-6638365.040887825,-6638365.009901366,724116.4265487725,724116.4575215639
4008,2016-08-17,724298.2366037348,-6335027.5950286705,-6335027.563955562,724298.2211425361,724298.2521221986
4009,2016-08-18,724480.0312011498,-5960281.762623542,-5960281.7317407,724480.0157362999,724480.046722833
4010,2016-08-19,724661.8257985646,-5523162.440848476,-5523162.409832241,724661.8103300635,724661.8413234678
4011,2016-08-20,724843.6203959793,-5033215.399949241,-5033215.3688888885,724843.6049238271,724843.6359241023
4012,2016-08-21,725025.4149933944,-4500270.7157260785,-4500270.684686842,725025.399516862,725025.430524737
4013,2016-08-22,725207.2095908091,-3934226.1045266134,-3934226.073487627,725207.1941094323,725207.2251253715
4014,2016-08-23,725389.0041882239,-3344845.305498024,-3344845.274407673,725388.9887023915,725389.0197260057
4015,2016-08-24,725570.7987856388,-2741575.889344354,-2741575.858212446,725570.7832954997,725570.8143266406
4016,2016-08-25,725752.5933830537,-2133390.0036776415,-2133389.9726187033,725752.577888608,725752.6089272749
4017,2016-08-26,725934.3879804685,-1528650.6291354122,-1528650.5980473068,725934.372481716,725934.4035279094
4018,2016-08-27,726116.1825778834,-935004.9554740903,-935004.9244826789,726116.1670748243,726116.1981285443
4019,2016-08-28,726297.9771752981,-359305.5135188113,-359305.482458814,726297.9616679326,726297.9927291786
4020,2016-08-29,726479.771772713,192441.2364695342,192441.26761737114,726479.7562610406,726479.7873298131
4021,2016-08-30,726661.5663701278,715100.0317154473,715100.0628165967,726661.5508541488,726661.5819304478
4022,2016-08-31,726843.3609675427,1204407.6107798307,1204407.6419056829,726843.3454472572,726843.3765310823
4023,2016-09-01,727025.1555649575,1656951.8225993116,1656951.8538451237,727025.1400403653,727025.1711317172
4024,2016-09-02,727206.9501623724,2070132.209594721,2070132.2407884928,727206.9346334735,727206.9657323515
4025,2016-09-03,727388.7447597873,2442105.62691082,2442105.6581549025,727388.729226582,727388.7603329864
4026,2016-09-04,727570.5393572021,2771720.697487438,2771720.728578477,727570.52381969,727570.5549336207
4027,2016-09-05,727752.3339546168,3058444.9829781633,3058445.014231984,727752.318412798,727752.3495342552
4028,2016-09-06,727934.1285520319,3302288.6822988046,3302288.713434363,727934.1130059063,727934.1441348899
4029,2016-09-07,728115.9231494466,3503728.4421163406,3503728.473325969,728115.9075990146,728115.9387355244
4030,2016-09-08,728297.7177468614,3663634.5256211623,3663634.556723757,728297.7021921228,728297.7333361588
4031,2016-09-09,728479.5123442763,3783204.1116600754,3783204.1428281926,728479.4967852312,728479.5279367936
4032,2016-09-10,728661.3069416912,3863902.9456554623,3863902.9768870273,728661.2913783392,728661.322537428
4033,2016-09-11,728843.101539106,3907416.9405265944,3907416.9717375576,728843.0859714474,728843.1171380626
4034,2016-09-12,729024.8961365209,3915614.6592991203,3915614.6904372466,729024.8805645556,729024.9117386972
4035,2016-09-13,729206.6907339358,3890520.938964676,3890520.9702828927,729206.6751576639,729206.7063393317
4036,2016-09-14,729388.4853313506,3834301.2535389652,3834301.284672225,729388.469750772,729388.5009399664
4037,2016-09-15,729570.2799287654,3749255.7912950977,3749255.8226294024,729570.2643438801,729570.2955406009
4038,2016-09-16,729752.0745261803,3637821.681456264,3637821.7127301763,729752.0589369884,729752.0901412356
4039,2016-09-17,729933.8691235952,3502581.3288232232,3502581.360125598,729933.8535300967,729933.8847418701
4040,2016-09-18,730115.66372101,3346274.4749692744,3346274.506278445,730115.6481232048,730115.6793425046
4041,2016-09-19,730297.4583184249,3171811.3634262243,3171811.3946905956,730297.4427163132,730297.4739431393
4042,2016-09-20,730479.2529158397,2982284.289542901,2982284.3208852126,730479.2373094212,730479.2685444299
4043,2016-09-21,730661.0475132543,2780974.8492909893,2780974.8806407726,730661.0319025294,730661.0631476124
4044,2016-09-22,730842.8421106695,2571354.3701123274,2571354.4014219986,730842.8264956377,730842.8577507951
4045,2016-09-23,731024.6367080841,2357075.3037859467,2357075.335142063,731024.6210887459,731024.6523539776
4046,2016-09-24,731206.4313054989,2141951.775505665,2141951.806835484,731206.415681854,731206.44695716
4047,2016-09-25,731388.225902914,1929927.9948620382,1929928.0262184734,731388.2102749624,731388.2415603428
