,Date Occurred,Crime Code,MO Codes,Address,Cross Street,Location,lat_lng,Zipcode
1408085,01/21/2012,121,0416 0371 0906 0510 0519 0503 0507 0550 0527,104TH,HOOVER,"(33.9424, -118.2869)","[33.9424, -118.2869]",90044
1408136,02/25/2012,121,1206 0400 0527 0532,11200    MAIE                         AV,,"(33.933, -118.2444)","[33.933, -118.2444]",90059
1408178,03/22/2012,121,0334 1822 0504 0538 0536 0527 0526 1305 0432 1402,BROADWAY,IMPERIAL,"(33.931, -118.2783)","[33.931, -118.2783]",90061
1408184,03/24/2012,121,0510 0507 0527 1415 1206 1817,119TH                        ST,SAN PEDRO,"(33.9247, -118.2652)","[33.9247, -118.2652]",90061
1408195,03/30/2012,121,2000 0536 0527 1415 0400,100 E  95TH                         ST,,"(33.9502, -118.2739)","[33.9502, -118.2739]",90003
1408289,05/14/2012,121,0527 0522 0500 2000 1402 1243 0400 0512 1002 1817,2100 E  105TH                        ST,,"(33.9406, -118.2348)","[33.9406, -118.2348]",90002
1408321,06/04/2012,121,1019 0344 0906 0527,109TH                        ST,BROADWAY,"(33.9374, -118.2781)","[33.9374, -118.2781]",90044
1408344,06/26/2012,121,0400 1814 0527 0508 1415 1259 0913 0537 0532 1002,2100 E  IMPERIAL                     HY,,"(33.9292, -118.2348)","[33.9292, -118.2348]",90059
1408392,07/21/2012,121,1402 1415 0334 0527 1822,FIGUEROA                     ST,BROADWAY,"(33.956, -118.2772)","[33.956, -118.2772]",90003
1408438,08/12/2012,121,1817 1259 0527 0532 1415,90TH                         ST,BARING CROSS,"(33.9551, -118.2893)","[33.9551, -118.2893]",90044
1408502,09/10/2012,121,0400 0527,800 W  IMPERIAL                     HY,,"(33.931, -118.2893)","[33.931, -118.2893]",90044
1408509,09/15/2012,121,1415 0527 0536 0400 1817,103RD                        ST,WILMINGTON,"(33.9432, -118.2385)","[33.9432, -118.2385]",90002
1408554,10/12/2012,121,0344 0531 0547 1402 0527 0400 0519 0504 0540 1822,116TH                        ST,AVALON,"(33.9292, -118.2652)","[33.9292, -118.2652]",90061
1408604,11/07/2012,121,0510 1259 0527 0400 0507 1817 0368 0519,800 W  99TH                         ST,,"(33.9464, -118.2893)","[33.9464, -118.2893]",90044
1408656,12/21/2012,121,0334 0527 0400 0507 1022 1402 1300,11200 S  BROADWAY,,"(33.933, -118.2783)","[33.933, -118.2783]",90061
1408674,12/29/2012,121,0400 0527,11100    ANTWERP                      ST,,"(33.9348, -118.2485)","[33.9348, -118.2485]",90059
1408697,01/02/2012,121,2000 0527 1206 1415,VERMONT                      AV,133RD                        ST,"(33.9113, -118.2916)","[33.9113, -118.2916]",90061
1409518,02/06/2012,121,0527 0400 0536 1415 1814 1310 1300 0913,10100 S  VERMONT                      AV,,"(33.9446, -118.2916)","[33.9446, -118.2916]",90044
